model,n_samples,grid_accuracy,f1_macro,composite_score,train_loss,val_loss,epochs_trained,early_stopped
transformer_ae,50,0.0,0.0,0.0,0.08240631222724915,0.28310689330101013,10,True
transformer_ae,100,0.7,0.6309523809523809,0.21,0.007866651937365531,0.008736169897019863,29,True
transformer_ae,200,0.825,0.8216374269005847,0.24749999999999997,0.01298198401927948,0.015713121742010117,11,True
transformer_ae,500,0.93,0.916988416988417,0.279,0.001533376225270331,0.0015445010550320147,27,True
transformer_ae,1000,0.975,0.9757722618253928,0.2925,0.0013984242640435697,0.0014556147996336222,11,True
transformer_ae,2000,0.99,0.9898508039832972,0.297,0.0008208820060826838,0.0008343201410025359,11,True
transformer_ae,10000,0.4895,0.37243878060969515,0.14684999999999998,2.6662902120733634e-05,2.6804995606653394e-05,66,True
transformer_mae,50,0.1,0.045454545454545456,0.03,0.7555511593818665,0.8364551663398743,11,True
transformer_mae,100,0.75,0.7240896358543417,0.22499999999999998,0.7488152027130127,0.7493774890899658,19,True
transformer_mae,200,0.65,0.5729166666666666,0.195,0.7259988903999328,0.7158221006393433,17,True
transformer_mae,500,0.81,0.7859100822345385,0.243,0.7154389572143555,0.678515546321869,21,False
transformer_mae,1000,0.855,0.8539776204213655,0.2565,0.7188944625854492,0.7418645262718201,11,True
transformer_mae,2000,0.94,0.9391668578279166,0.282,0.7272431325912475,0.7557608461380005,11,True
transformer_mae,10000,1.0,1.0,0.3,0.34660839474201205,0.35608814883232115,11,True
